Begin Time (s),End Time (s),Sound_Type,Filename
35.32083333333333,35.90416666666667,BACKGROUND,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
35.90833333333333,36.05833333333333,A,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
36.05833333333333,36.59583333333333,BACKGROUND,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
36.59583333333333,36.829166666666666,A,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
36.829166666666666,37.25833333333333,BACKGROUND,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
37.25833333333333,37.36666666666667,A,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
45.19583333333333,46.020833333333336,BACKGROUND,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
58.94166666666666,59.3,A,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
170.96666666666667,171.15833333333333,BACKGROUND,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
171.15833333333333,171.39166666666665,A,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
171.39166666666665,171.81666666666666,BACKGROUND,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
171.81666666666666,172.0375,A,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
172.0375,172.47916666666666,BACKGROUND,/home/tc229954/data/beetles/extra_beetle_songs/audio_2020/trial12_M89_F73_062120/trial12_M89_F73_062120.wav
