Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Sound_Type
1,0,0,16.4375,16.483333333333334,0,0,X
2,0,0,16.575,16.6,0,0,X
3,0,0,19.733333333333334,19.75,0,0,X
4,0,0,22.991666666666667,23.066666666666666,0,0,X
5,0,0,27.90833333333333,27.941666666666666,0,0,X
6,0,0,30.03333333333333,30.075,0,0,X
7,0,0,0.9041666666666667,1.025,0,0,B
8,0,0,1.0291666666666666,1.7541666666666667,0,0,X
9,0,0,1.7583333333333333,2.2625,0,0,B
10,0,0,2.2666666666666666,2.6791666666666667,0,0,X
11,0,0,2.683333333333333,3.1625,0,0,B
12,0,0,3.1666666666666665,3.4583333333333335,0,0,X
13,0,0,3.4625,4.0125,0,0,B
14,0,0,4.016666666666667,4.379166666666666,0,0,X
15,0,0,4.383333333333333,4.883333333333333,0,0,B
16,0,0,4.8875,5.091666666666667,0,0,X
17,0,0,5.095833333333333,5.820833333333333,0,0,B
18,0,0,5.825,6.054166666666666,0,0,X
19,0,0,6.058333333333334,6.683333333333334,0,0,B
20,0,0,6.6875,9.570833333333333,0,0,X
21,0,0,9.575,9.933333333333334,0,0,B
22,0,0,9.9375,10.345833333333333,0,0,X
23,0,0,10.35,10.958333333333334,0,0,B
24,0,0,10.9625,11.191666666666666,0,0,X
25,0,0,11.195833333333333,11.754166666666666,0,0,B
26,0,0,11.758333333333333,11.7875,0,0,X
27,0,0,11.791666666666666,11.883333333333333,0,0,B
28,0,0,11.8875,12.016666666666666,0,0,X
29,0,0,12.020833333333334,12.858333333333333,0,0,B
30,0,0,12.862499999999999,15.5375,0,0,X
31,0,0,15.541666666666666,15.720833333333333,0,0,B
32,0,0,15.725,16.433333333333334,0,0,X
33,0,0,16.4375,16.483333333333334,0,0,B
34,0,0,16.4875,16.570833333333333,0,0,X
35,0,0,16.575,16.6,0,0,B
36,0,0,16.604166666666668,16.879166666666666,0,0,X
37,0,0,16.883333333333333,17.716666666666665,0,0,B
38,0,0,17.72083333333333,19.15833333333333,0,0,X
39,0,0,19.1625,19.4375,0,0,A
40,0,0,19.441666666666666,19.729166666666668,0,0,X
41,0,0,19.733333333333334,19.75,0,0,B
42,0,0,19.754166666666666,20.108333333333334,0,0,X
43,0,0,20.1125,20.279166666666665,0,0,B
44,0,0,20.28333333333333,20.666666666666668,0,0,X
45,0,0,20.670833333333334,20.945833333333333,0,0,A
46,0,0,20.95,22.9875,0,0,X
47,0,0,22.991666666666667,23.066666666666666,0,0,B
48,0,0,23.070833333333333,23.6625,0,0,X
49,0,0,23.666666666666668,24.2,0,0,B
50,0,0,24.204166666666666,24.53333333333333,0,0,X
51,0,0,24.5375,25.116666666666667,0,0,B
52,0,0,25.120833333333334,25.53333333333333,0,0,X
53,0,0,25.5375,26.09583333333333,0,0,B
54,0,0,26.099999999999998,26.22083333333333,0,0,X
55,0,0,26.224999999999998,26.854166666666668,0,0,B
56,0,0,26.858333333333334,26.858333333333334,0,0,X
57,0,0,26.8625,27.3125,0,0,A
58,0,0,27.316666666666666,27.316666666666666,0,0,X
59,0,0,27.320833333333333,27.78333333333333,0,0,B
60,0,0,27.787499999999998,27.787499999999998,0,0,X
61,0,0,27.791666666666668,27.891666666666666,0,0,A
62,0,0,27.895833333333332,27.904166666666665,0,0,X
63,0,0,27.90833333333333,27.941666666666666,0,0,A
64,0,0,27.945833333333333,28.145833333333332,0,0,X
65,0,0,28.15,28.2375,0,0,B
66,0,0,28.241666666666667,28.287499999999998,0,0,X
67,0,0,28.291666666666668,28.90833333333333,0,0,B
68,0,0,28.912499999999998,28.912499999999998,0,0,X
69,0,0,28.916666666666668,29.241666666666667,0,0,A
70,0,0,29.245833333333334,29.245833333333334,0,0,X
71,0,0,29.25,30.025,0,0,B
72,0,0,30.029166666666665,30.029166666666665,0,0,X
73,0,0,30.03333333333333,30.075,0,0,A
74,0,0,30.079166666666666,30.179166666666667,0,0,X
75,0,0,30.183333333333334,30.9375,0,0,B
76,0,0,30.941666666666666,30.941666666666666,0,0,X
77,0,0,30.945833333333333,31.1875,0,0,A
78,0,0,31.191666666666666,31.191666666666666,0,0,X
79,0,0,31.195833333333333,31.808333333333334,0,0,B
80,0,0,31.8125,31.8125,0,0,X
81,0,0,31.816666666666666,32.1625,0,0,A
82,0,0,32.166666666666664,32.166666666666664,0,0,X
83,0,0,32.170833333333334,33.0,0,0,B
84,0,0,33.00416666666666,33.145833333333336,0,0,X
85,0,0,33.15,33.958333333333336,0,0,B
86,0,0,33.9625,34.15,0,0,X
87,0,0,34.15416666666667,34.8375,0,0,B
88,0,0,34.84166666666667,35.175,0,0,X
89,0,0,35.17916666666667,35.666666666666664,0,0,B
90,0,0,35.670833333333334,36.079166666666666,0,0,X
91,0,0,36.083333333333336,36.52916666666667,0,0,B
92,0,0,36.53333333333333,36.8125,0,0,X
93,0,0,36.81666666666666,37.59166666666667,0,0,B
94,0,0,37.59583333333333,37.72083333333333,0,0,X
95,0,0,37.725,38.395833333333336,0,0,B
96,0,0,38.4,38.4,0,0,X
97,0,0,38.40416666666667,38.579166666666666,0,0,A
98,0,0,38.583333333333336,38.583333333333336,0,0,X
99,0,0,38.5875,39.25416666666666,0,0,B
100,0,0,39.25833333333333,39.25833333333333,0,0,X
101,0,0,39.2625,39.641666666666666,0,0,A
102,0,0,39.645833333333336,39.645833333333336,0,0,X
103,0,0,39.65,40.325,0,0,B
104,0,0,40.329166666666666,40.329166666666666,0,0,X
105,0,0,40.333333333333336,40.583333333333336,0,0,A
106,0,0,40.5875,40.5875,0,0,X
107,0,0,40.59166666666667,41.233333333333334,0,0,B
108,0,0,41.2375,41.2375,0,0,X
109,0,0,41.24166666666667,41.5875,0,0,A
110,0,0,41.59166666666667,41.59166666666667,0,0,X
111,0,0,41.59583333333333,42.32083333333333,0,0,B
112,0,0,42.325,42.670833333333334,0,0,X
